,Capitale,Pays/Territoire,Population,Année,capitalpays,Latitude,Longitude
229,The Valley,Anguilla (Royaume-Uni),1 169,,"The Valley,Anguilla (Royaume-Uni)",18.2148129,-63.0574406
230,Yaren (de facto),Nauru,1 100[91],,"Yaren (de facto),Nauru",-0.5466856999999999,166.9210913
231,Hagåtña,Guam (États-Unis),1 100,,"Hagåtña,Guam (États-Unis)",13.482451,144.7711372
232,Brades (de facto),Montserrat (Royaume-Uni),1 000,,"Brades (de facto),Montserrat (Royaume-Uni)",16.7909044,-62.2106241
233,Hamilton,Bermudes (Royaume-Uni),969,,"Hamilton,Bermudes (Royaume-Uni)",32.2945837,-64.7858887
234,Kingston,Île Norfolk (Australie),880 [92],,"Kingston,Île Norfolk (Australie)",-29.0353543,167.9431901
235,Vatican,Vatican,826 (2009 est.)[93],,"Vatican,Vatican",41.902916,12.453389
236,Jamestown,"Sainte-Hélène, Ascension et Tristan da Cunha (Royaume-Uni)",714,,"Jamestown,Sainte-Hélène, Ascension et Tristan da Cunha (Royaume-Uni)",-15.9286343,-5.7151749
237,Alofi,Niue (Nouvelle-Zélande),616,,"Alofi,Niue (Nouvelle-Zélande)",-19.0649173,-169.9304201
238,Nukunonu (de facto),Tokelau (Nouvelle-Zélande),426,,"Nukunonu (de facto),Tokelau (Nouvelle-Zélande)",-9.200199999999999,-171.8484
239,Melekeok,Palaos,299[94],2012,"Melekeok,Palaos",7.515028599999999,134.5972518
240,West Island,Îles Cocos (Australie),120,,"West Island,Îles Cocos (Australie)",-12.1450486,96.82170169999999
241,Adamstown,Îles Pitcairn (Royaume-Uni),45,,"Adamstown,Îles Pitcairn (Royaume-Uni)",-25.0662897,-130.1004636
242,King Edward Point,Géorgie du Sud-et-les Îles Sandwich du Sud (Royaume-Uni),18,,"King Edward Point,Géorgie du Sud-et-les Îles Sandwich du Sud (Royaume-Uni)",-54.2832502,-36.493735
